0103050P0AAAFAF,Omeprazole_Cap E/C 10mg
091200000BEVPA0,Valupak_Cranberry Tab 2g
1106000B0AAALAL,Acetazolamide_Cap 250mg M/R
1108010F0BIABBS,Artelac SDU_Eye Dps 0.32% 0.5ml Ud
1202010M0BCABAD,Nasofan_Allergy Aq Nsl Spy 50mcg (60 D)
1202020P0BBAAAC,Otrivine_Adult Nsl P/Spy 0.1% 10ml
1202020P0BBADAB,Otrivine_Adult Nsl Dps 0.1%
1203030B0AAAEAE,Gppe Loz_Dequacaine
130201100BBARA0,Aveeno_Bath Add Colloidal Pdr Sach 50g
1302020F0AAABAB,Gppe Oint_Morhulin
1303000I0BBAAAB,Eurax_Lot 10%
1304000D0BBAEBC,Diprosone_Lot 0.05%
1307000M0BQACBE,Scholl_Corn & Callous Removal Liq
1311030A0BGACA0,Cetaphil_Gentle Skin Cleanser
190205500BCNDA0,Neutrogena_T/Gel Shampoo for Sens Scalp
20030700009,Actisorb Silv 220 6.5cm x 9.5cm Wound Dr
20050400149,Kapitex Trachi-Swab Exlge (50 Pack) Trac
20090000845,Tubifast 2-Way Stch Leggings 2-5 Yrs Ela
20090001004,Skinnies Mittens 8-14 Yrs Elasctd Viscos
20200000112,DermaSilk Leggings 3-4 Yr(s) Silk Garmen
20200000136,DermaSilk Shirt Roll Neck 3-4 Yr(s) Silk
20200000154,DreamSkin Body Suit 3-4 Yr(s) Silk Garme
22051000501,Coloplast_Simpla Cath Valve
22600706000,Dansac_Night Drain Bag 2L
23601006242,Coloplast_Assura Insp Maxi Drnbl Bag H/A
23941009596,Coloplast_Assura Insp Midi Closed Bag S/
23941009915,Coloplast_Assura Integ C/exity B/Plt 50m
23944809507,Convatec_Combihesive Natura Drnbl Pouch
23963359600,Oakmed_Option Urost Bag + Window C/Fit 1
23964109726,Salts_Confidence Convex Urost Supersoft
0101010Q0AAAAAA,Mag Hydrox_Antacid Liq 415mg/5ml
0103010T0AAAJAJ,Ranitidine HCl_Tab Eff 300mg
0301020I0BBAJAN,Atrovent_Inha 20mcg (200 D) CFF
0302000K0AAAWAW,Budesonide_Pdr For Inh 200mcg (100D) Ref
0401030T0AAACAC,Amobarb Sod/Secobarb Sod_Cap 50mg/50mg
0406000L0BBAAAT,Kwells_Tab
0407010X0BIABAI,Remedeine Fte_Tab
0407020B0BDACAG,Transtec_T/Derm Patch 70mcg/hr (40mg)
0408010AKAAABAB,Perampanel_Tab 4mg
0408010A0BBAEAI,Keppra_Tab 750mg
0409010N0AAAAAA,Co-Careldopa_Tab 10mg/100mg
0501080D0BGACAJ,Septrin Fte_Tab 160mg/800mg
0904010AABLAAAL,Orgran_G/F W/F Pizza & Pastry Mix
0904010AEBCABAA,Promin_G/F L/P Hot Breakfast (Chocolate)
0904010AEBCACAA,Promin_G/F L/P Hot Breakfast(Apple&Cinn)
0904010AMBBABAA,Promin_L/P Dessert (Choc & Banana)
0904010AMBBACAA,Promin_L/P Dessert (Custard)
0904010AMBBADAA,Promin_L/P Dessert (Caramel)
0904010ANBBAAAA,Taranis_L/P Hazelnut Spread
0904010ASBBABAA,Taranis_L/P Apricot Cake
0904010ASBBACAA,Taranis_L/P Pear Cake
0904010T0BGANAD,Promin_G/F L/P Flat Noodle
0904010V0BDAAAD,Promin_G/F L/P Imitation Rice
0904010W0BFAAAE,Juvela_L/P Cookie (Choc Chip)
090401000BBMGA0,PKU cooler 15_Liq (4 Flav)
090401000BBMZA0,Fortijuce_S/Pack Liq
090401010BJAAAA,Promin_L/P Burger Mix Lamb & Mint
090401010BJACAA,Promin_L/P Sausage Mix Apple & Sage
090401060BDAAAC,Promin_G/F L/P Pasta+ Cheese&Brocc Sauce
090402000BBHIA0,Scandishake Mix_Pdr Sach 85g (Choc)
090402000BBNSA0,Scandishake Mix_Pdr Sach 85g (Caramel)
1103030C0BBAAAA,Zovirax_Ophth Oint 3%
1106000T0BBAAAA,Betagan_Eye Dps 0.5%
1106000Z0AAAPAP,Timolol_Gel Eye Dps 0.25%
1302020D0AAAGAG,Zn Ox/Dimeticone_Spy 12.5%/1.04% 115g
1304000L0BBACAC,Nerisone Fte_Oily Crm 0.3%
1307000M0AAAIAI,Salic Acid_Paint 17%
1502010S0BBADAD,Citanest_Inj 1% Plain 50ml Vl
20020200824,K-Lite Long 10cm x 5.25m M/Layer Compres
20032100043,Renasys G/P TNPS Dress Kit + Port Med Wo
20050600001,Voiceline Voice Prosthesis Cleaning Brus
20090000459,Unspecified Stkntte 10cm x 0.5m  Elasctd
20170000106,Clini Med Cervical Collar Soft Foam
21130000118,Uro-Tainer Twin Solution R 2 x 30ml Cath
21160000025,Baxter Ster Water Top Irrig 500ml Btl
21300000102,Vismed Multi Sod Hyaluronate Eye Dps P/F
23151061500,ProSys_Independence No Sting Adh Remover
23153361507,Opus_Lift Medical Adh Remover Soln
23600106221,Hollister_Moderma Flex Convex Drnbl Pouc
23604806030,Convatec_Ileodress Plus Drnbl Pouch + Wa
23944809488,Convatec_Combihesive Natura Flx Flng 57m
23944809497,Convatec_Combihesive Natura Closed Pouch
23944809602,Convatec_C/Sive Natura Durahesive + Conv
23964109732,Salts_Confidence Convex Urost Supersoft
0101010C0BBAAAA,Alu-Cap_Cap 475mg
010300000BBADAD,diabact UBT_Helicobacter Test Tab 50mg
0105010B0AAASAS,Mesalazine_Tab E/C 800mg
0206010F0BQAAA5,Gtn_Tab 300mcg
0301011E0AAADAD,Formoterol Fumar_Inh 12mcg (100D) CFF
0402020V0BBABAB,Piportil Depot_Inj 50mg/ml 2ml Amp
0403030E0BGAAAH,Prozep_Oral Soln 20mg/5ml
0408010Z0BBABAC,Epanutin_Infatab 50mg
0409020N0AAALAL,Orphenadrine HCl_Oral Soln 50mg/5ml S/F
090401000BBNMA0,Nutramigen AA LIPIL_Pdr
0905013A0BBAAAF,Magnesiocard_Tab
1001010J0B4AJBH,Nurofen For Child_Susp 100mg/5mlS/F(Orng
1106000B0AAATAT,Acetazolamide_Liq Spec 250mg/5ml
1203050A0AAAFAF,Artificial Saliva_Spy 60ml
1305020C0BBAAAR,Carbo-Dome_Crm 10%
130801000BBKZA0,Delph_Sun Lot Spf 30
1502010J0BTAACQ,Lignospan Special_Inj 2% 2.2ml Cart
20031400011,Silgel STC-SE Gel Wound Dress Slc
20090000493,Acti-Fast 5cm x 5m (Green) Stkntte Elasc
21010900527,Unilet Eco Lancets 0.375mm/28 Gauge
21140000010,Cathejell Mono Lubricant Gel 8.5g
21300000106,Blink Intensive Tears Sod Hyaluronate Ey
22800508009,Bard_Urisleeve Leg Bag Holder Lge (40-70
23803378003,OstoMart_OstoCLENZ No Rinse Skin Cleansi
23941009696,Coloplast_Assura Ex B/Plt 50mm Flng
23941009721,Coloplast_Assura M/chamb Urost Bag Midi
0101021C0BKAACI,Calconate_Disper Tab 250mg
0102000L0AAAAAA,Glycopyrronium Brom_Tab 2mg
0105010B0AAANAN,Mesalazine_Gran Sach 1g M/R S/F
0105010B0AAARAR,Mesalazine_Tab G/R 1.2g M/R
0205040V0AAADAD,Terazosin HCl_Tab 10mg
0205052I0BBACAC,Aprovel_Tab 300mg
0205052P0BBAAAA,Cozaar-Comp_Tab 50mg/12.5mg
0205052X0BBACAC,Co-Diovan_Tab 80mg/12.5mg
0206010I0BGAGAJ,Isoket Ret 40_Tab 40mg
0206010K0BBADAF,Elantan LA 50_Cap 50mg
0206020Q0AAADAD,Nicardipine HCl_Cap 45mg M/R
0209000L0BBAFAM,Persantin Ret_Cap 200mg
0302000N0BBARAR,Flixotide_Accuhaler 50mcg (60 D)
0304010A0BCABAC,Benadryl Plus_Cap
0402010P0AAADAD,Pericyazine_Tab 2.5mg
040201060BBAEAE,Zyprexa_Velotab 5mg
0406000E0AAAAAA,Flunarizine HCl_Cap 5mg
0407020A0AAAIAI,Fentanyl_Loz 200mcg
0407020T0AAAAAA,Pentazocine HCl_Cap 50mg
040702040AAAMAM,Tramadol HCl_Tab 300mg M/R
0501013K0BBALAJ,Augmentin_Tab 625mg
0501070I0BBACAE,Colomycin_Inj 2 000 000u Vl (Dry)
0601060D0CJAAA0,TRUEone (Reagent)_Strips
0602010V0AACYCY,Levothyrox Sod_Liq Spec 125mcg/5ml
090402000BBPZA0,Forticreme Complete_Dessert (F/Fruits)
090402000BBQAA0,Forticreme Complete_Dessert (Choc)
0906040G0AACKCK,Colecal_Oral Soln 2 000u/ml S/F
0906040G0BIABBH,Pro D3_Cap 1 000u
0906040G0BIAEBD,Pro D3_Cap 20 000u
1104010S0AAAYAY,Prednisolone Sod Phos_Eye Dps 1% P/F
110801000BLAPA0,Blephasol_Lot
1501030H0AAABAB,Hyoscine Hydrob_Inj 600mcg/ml 1ml Amp
20030100253,OpSite Plus 10cm x 35cm VP Adh Film Dres
20030100254,Mepore Ultra 9cm x 20cm VP Adh Film Dres
20030400020,Granuflex Bordered 10cm x 10cm Wound Dre
20030600264,Allevyn Ag Adh 7.5cm x 7.5cm Wound Dress
20030600266,Allevyn Ag Adh 12.5cm x 12.5cm Wound Dre
20030800031,Allevyn Plus Cavity 10cm x 10cm Wound Dr
20031200086,Mesitran 10cm x 10cm Wound Dress H/Gel S
20090000110,Cotton Stkntte Bleached BP 1988 2.5cm He
20090000409,Tubipad Heel/Elbow/Knee Med Stkntte Elas
21020000781,Bard Biocath Compreh/Care Foy Tray Male
21020000862,Coloplast Folysil All Slc Foy Fle Size 1
21270000607,Haddenham Microfine Glove + Compressive
21270000711,Juzo Classic Class 2 A/Sleeve Wrist-Axil
23053370502,Ostomart_OstoFix Forty Security Frames
23300263063,AMI_Suportx Ostomy/Hernia Easy Peel Supp
23350103769,Hollister_Moderma Flex Convex Maxi C/Pch
23351003817,Coloplast_SenSura Midi Closed Bag Split
23355603704,Welland_FreeStyle Flushable Closed Pouch
23355603714,Welland_FreeStyle Flushable Closed Pouch
23604106442,Salts_Confidence Drnbl Supersoft Pouch S
23604806002,Convatec_Ileodress One-Piece Drnbl Pouch
23944809616,Convatec_Combihesive Natura Stomahesive
0410030B0AAAAAA,Buprenorph/Naloxone_Tab Subling8mg/2mgSF
0410030B0AAABAB,Buprenorph/Naloxone_Tab Subling2/0.5mgSF
0410030C0BFABAF,Physeptone_Mix 1mg/1ml S/F
0101010R0AAAEAE,Simeticone_Tab Chble 125mg
0105010B0BBADAG,Asacol_Suppos 250mg
0302000C0BNAABU,Easyhaler_Beclomet 200mcg (200 D)
0401020R0AAABAB,Meprobamate_Tab 400mg
0403030D0BBACAC,Cipramil_Tab 40mg
0501050N0BBAAAA,Erythrocin_Filmtab 250mg
0504010U0AAAAAA,Proguanil HCl/Atovaquone_Tab 100mg/250mg
0601023ADAAAAAA,Metformin HCl/Sitagliptin_Tab 1g/50mg
0902021S0AAADAD,Sod Chlor_I/V Inf 0.9% 20ml Amp
090401000BBBPA0,Locasol_Pdr
0906040G0AACQCQ,Colecal_Tab 10 000u
0906050P0BCAAAA,Vita-E_Gels 75u
090900000BBJKA0,SMA_Staydown Pdr
1202010M0AAADAD,Fluticasone Prop_Nsl Spy 50mcg (60 D)
1203010U0AAABAB,Doxycycline Hyclate_Tab 20mg
1203030M0AAAQAQ,LidoHCl/Chlorhex Glucon_Spy .05%/.2%30ml
1302010N0AAACAC,Paraf_Soft Wte Spy 10% 250ml
1404000H0BFAAAF,Fluarix_Vac 0.5ml Pfs
1502010I0AAACAC,Lido/Cetylpyr Chlor_Spy 10% 50ml
20030100060,N-A Ultra 9.5cm x 9.5cm Type 1 Ktd Visco
20030600011,Lyofoam 10cm x 10cm Wound Dress Polyuret
20030900033,Mepilex Transfer 10cm x 12cm Wound Dress
20031300045,Advasil Conform 10cm x 15cm Wound Dress
20050400148,Kapitex Trachi-Swab Lge (50 Pack) Trache
20050400150,Kapitex Trachi-Wipe (Skin-Wipe) Tracheo
20090000966,CliniFast Mittens 8-14 yrs Elasctd Visco
21200000048,Activa Leg Ulcer Hose Kit Exlge O/T Comp
21240000170,Baby Nose-Clear Nsl Aspirator
21370000100,PelvicToner Dev
21420000100,Therabite Bite Pad & Acc
21420000101,Therabite Bite Pad
23601006348,Coloplast_SenSura Soft Seal Maxi S/Cover
0406000W0AAAHAH,Ketamine_Liq Spec 250mg/5ml
0407020M0AABIBI,Methadone HCl_Cap 30mg
040702050AAAHAH,Hydromorphone HCl_Inj 20mg/ml 1ml Amp
1501043A0AAADAD,Alfentanil HCl_Inj 5mg/ml 1ml Amp
0406000T0BFAAAK,Buccastem M_Tab 3mg
0406000U0BBAAAA,Stemetil_Syr 5mg/5ml
0407020Q0AACSCS,Morph Sulph_Oral Soln 10mg/5ml Udv S/F
0501013B0AAAIAI,Amoxicillin_Oral Susp Paed 125mg/1.25ml
0902012H0AAAJAJ,Gppe Pdr Sach_Dioralyte Relief S/F
0902021X0AAAEAE,Water For Inj_20ml Amp
1106000B0BBAEAL,Diamox SR_Cap 250mg
20030600270,Tegaderm Foam 8.8cm x 8.8cm Wound Dress
21010900714,Neria Subcutaneous D/Delivery Acc 60cm T
21250000101,Femmax Vag Dilator Kit
0402010ABBBALBA,Seroquel XL_Tab 150mg
0407020K0AAAEAE,Diamorph HCl_Inj 30mg Amp
0407020K0AACBCB,Diamorph HCl_Tab 10mg
0407020K0AADCDC,Diamorph HCl_Reefer 40mg
0407020K0AAEUEU,Diamorph HCl_Reefer 20mg
0407020M0AAACAC,Methadone HCl_Inj 50mg/ml 1ml Amp
0407020M0AAANAN,Methadone HCl_Inj 10mg/ml 5ml Amp
0407020M0AAAVAV,Methadone HCl_Inj 10mg/ml 1ml Amp
0407020Q0AAAHAH,Morph Sulph_Tab 100mg M/R
0407020Q0BIABEH,MXL_Cap 60mg
0410030B0BBAAAA,Suboxone_Tab Subling 8mg/2mg
0410030B0BBABAB,Suboxone_Tab Subling 2mg/0.5mg
0410030C0AABBBB,Methadone HCl_Oral Conc 20mg/1ml S/F
0410030C0BBAABA,Methadose_Oral Conc 10mg/1ml S/F
0109040N0BBAFAJ,Pancrex V Fte_Tab E/C 200mg
0301011R0BEAMBG,Ventolin_Syr 2mg/5ml S/F
1106000Z0BBADAL,Timoptol_Eye Dps 0.5% Ud P/F
1311020G0BCANAJ,Baxter_Chlorhex Acet Top Irrig 0.02% 1L
20020200914,K-Soft Long 10cm x 4.5m M/Layer Compress
0202010B0AAAXAX,Bendroflumethiazide_Oral Susp 2.5mg/5ml
0205051Q0AAABAB,Quinapril HCl_Tab 10mg
0206040AIAAACAC,Moxisylyte HCl_Tab 40mg
0301011R0BXABCC,Salbulin Novolizer_Inh 100mcg (200D) Ref
0304010W0AAAEAE,Promethazine HCl_Tab 20mg
0704020Z0BBABAD,Regurin XL_Cap 60mg
1302020E0AAALAL,Gppe Crm_Sudocrem Antis
140400030AAACAC,Hepat A_Vac 1440u/ml 1ml Pfs
20020201066,Profore #2 Ltx-free 10cm x 4.5m M/Layer
20030100109,Mesorb 20cm x 25cm Pfa Cellulose Dress
21300000700,Lumecare Carbomer Eye Gel 0.2%
22402954000,M.Sauer_Comfort Plus D/S H/Coll Adh Tape
22502085001,Great Bear_Libra Leg Bag Ster + Tap 500m
23601006270,Coloplast_Assura Insp Integ C/exity Midi
23941009587,Coloplast_Assura Insp Midi Closed Bag Tr
010102100AAAGAG,Bism Subsalic_Oral Susp 87.5mg/5ml S/F
0302000U0AAABAB,Ciclesonide_Inh 160mcg (120 D) CFF
0410030E0BCAAAA,Opizone_Tab 50mg
0601012D0AABABA,Gppe Ins_Humulin M3 100u/ml 3ml Cart
0109040N0BBABAG,Pancrex V_Cap 340mg
0208010D0AAADAD,Enoxaparin_Inj 100mg/ml 0.8ml Pfs
0208010D0AAAEAE,Enoxaparin_Inj 100mg/ml 1ml Pfs
0302000R0AAACAC,Mometasone Fur_Pdr For Inh 400mcg (30 D)
1307000M0BXAAAV,Bazuka_Gel + Applic
20090000848,Tubifast 2-Way Stch Leggings 11-14 Yrs E
21020000831,LoFric Plus Nelaton Fle 8-18 (25-Pack) C
21040000261,Nova-T 380 Iucd
0106020I0AAAJAJ,Docusate Sod_Micro-Enem 120mg
0202030C0AAASAS,Amiloride HCl_Oral Soln 5mg/5ml S/F
0206010K0CCADAE,Monosorb XL 60_Tab 60mg (Almus)
0206030Z0AAACAC,Ranolazine_Tab 750mg M/R
0208010W0BCACAF,Innohep_Inj 20 000u/ml 2ml Vl
0301011R0AABPBP,Salbutamol_Cap 8mg M/R
0301011R0BJABAF,Asmasal Clickhaler_D/P Inh 95mcg (200 D)
0402020L0BBAFAB,Modecate Conc_Inj 100mg/ml 0.5ml Amp
0406000J0AAABAB,Domperidone_Suppos 30mg
0407010ACAAAAAA,Gppe Cap_Midrid
0407010H0B4AAAW,Medinol_Paed Susp 120mg/5ml C/F S/F
0407020A0AAAZAZ,Fentanyl_Tab Sublingual 400mcg S/F
0407020G0BBABAE,Dhc Continus_Tab 90mg
0601040E0AAAAAA,Diazoxide_Tab 50mg
0602010V0BHABGA,Evotrox_Oral Soln 50mcg/5ml
0604011G0BCAGBR,Estraderm MX 75_Patch
0803020H0BDAAAC,Provera_Tab 100mg
0803020H0BDADAF,Provera_Tab 400mg
0904010K0BEAAAF,Glucotabs_Tab (Orange)
0904010U0BIAGAA,Barkat_G/F W/F Bread Wte P/Bke (Cut)
090401000BBLDA0,Neocate Advance_Pdr Sach 50g (Flav)
090402000BBGLA0,Nutrison_Conc Liq
090402000BBTYA0,Fresubin Jucy_Drink (5 Flav)
1001010L0AAANAN,Ketoprofen/Omeprazole_Cap 200mg/20mg M/R
1001030F0AAAFAF,Penicillamine_Tab 250mg
1305030C0BBABAC,Protopic_Oint 0.03%
1306010I0BDAAAC,Isotrexin_Gel
1306010V0BBABAB,Retin-A_Gel 0.025%
1307000Q0BBADAC,Avoca_Silver Nitrate Applic 75%
1502010C0AAABAB,Bupivac HCl_Inj 0.25% 25mg/10ml Amp
1502010C0BBAIAB,Marcain_Plain Inj 0.25% 10ml Polyamp
20020201068,Profore #4 Ltx-free 10cm x 2.5m M/Layer
20030100108,Mesorb 15cm x 20cm Pfa Cellulose Dress
20030100110,Mesorb 20cm x 30cm Pfa Cellulose Dress
20030400296,Silvercel 10cm x 20cm Wound Dress H/Coll
20030800043,SeaSorb Soft Filler 44cm Wound Dress Cav
20030800073,Tegaderm Alginate Ag 3cm x 30cm Wound Dr
20031600032,Atrauman Ag 10cm x 20cm Wound Dress Soft
20050200120,Sofshield Blue Sml Tracheo Prote
20050200121,Sofshield Blue Lge Tracheo Prote
20050300115,Provox Fltr HME Flexiderm Adh Round 7253
20050300125,Provox Fltr HME Regular Adh Round 7251 T
20050300162,Provox Fltr HME HiFlow Fltr Cass 7243 Tr
20050600005,Provox Voice Prosthesis Cleaning Brush
20090000496,Acti-Fast 7.5cm x 5m (Blue) Stkntte Elas
20090000499,Acti-Fast 10.75cm x 5m (Yellow)Stkntte E
20090000890,Comfifast E/Wrap Mittens 0-24 M Elasctd
21011300109,Premier Prestige Nitrile Blue Gloves Sml
21020000551,Bard Silastic Slc-Ctd Foy 10ml 12-24 Cat
22500505001,Bard_Uriplan Leg Bag Direct Inlet 500ml
22801008008,Coloplast_Aquasleeve Med
22801008013,Coloplast_Aquasleeve Stnd
23156001500,C D Medical_Peel Easy Adh Remover Spy 50
23301023003,Comfizz_Comfizz Stoma Wstbnd Blk Med/Lge
23354803600,Convatec_Esteem Closed Pouch Med Opqe S/
23601006329,Coloplast_SenSura Maxi Drnbl Bag S/Cover
23944809617,Convatec_Combihesive Natura Stomahesive
23961009674,Coloplast_Sensura S/Seal M/chamb UrostBa
0106020C0BDAAAA,Dulcolax_Tab 5mg
0204000H0AAAUAU,Bisoprolol Fumar_Liq Spec 1.25mg/5ml
0208010W0BCAGAK,Innohep_Inj 20 000u/ml 0.5ml Pfs
0402010I0AAABAB,Fluphenazine HCl_Tab 1mg
0402020T0AAAAAA,Haloperidol Decan_Inj 50mg/ml 1ml Amp
0406000S0AAAIAI,Ondansetron HCl_Oral Lyophil Tab 4mg S/F
0408010ADAAADAD,Zonisamide_Liq Spec 50mg/5ml
0408010G0BBAAAA,Neurontin_Cap 100mg
0408010W0BIAABP,Episenta_I/V Inf 100mg/ml 3ml Amp
0501011J0AAABAB,Benzylpenicillin Sod_Inj 600mg Vl
0501013K0BBAJAD,Augmentin_Pdr For Susp 125/31mg/5ml S/F
0501040H0BCAAAA,Genticin_Inj Soln 40mg/ml 2ml Amp
0501050B0BBAAAA,Klaricid_Tab 250mg
0501050B0BBADAD,Klaricid 500_Tab 500mg
0501050T0AAAAAA,Telithromycin_Tab 400mg
0504010L0AAAAAA,Mefloquine HCl_Tab 250mg
0604012M0AAAFAF,Medroxyprogest Acet_Tab 2.5mg
0605010G0AAAAAA,Clomifene Cit_Tab 50mg
0704020N0BBABAB,Detrusitol_Tab 2mg
0802010N0BBAAAA,Myfortic_Tab 180mg G/R
0803042A0BBAAAA,Casodex_Tab 50mg
090401000BBNGA0,KetoCal_Pdr (Vanilla)
1001022K0AAABAB,Methylpred Acet_Inj 40mg/ml 2ml Vl
1001030U0AAACAC,Methotrexate_Tab 10mg
1002020Y0AAABAB,Cannabis_Oromucosal P/Spy 10ml Vl (90D)
1105000E0AAAFAF,Cyclopentolate HCl_Eye Dps 1% Ud
1105000E0BBABAF,Minims_Cyclopentolate HCl 1% Ud P/F
1105000P0AAAFAF,Phenyleph HCl_Eye Dps 2.5% Ud
1106000AFBBABAB,Lumigan_Eye Dps 100mcg/ml
1106000Z0BBAFAQ,Timoptol-LA_Ophth Gel-Forming Soln 0.5%
1304000P0AAAAAA,Fluocinonide_Crm 0.05%
130801000BBNVA0,Sunsense_Sunsensitive Crm SPF 50+
190205500BCMFA0,Oilatum_Scalp Intensive Tt Shampoo
20030200041,Tegaderm Alginate 10cm x 10cm Wound Dres
20030200046,Tegaderm Alginate Ag 10cm x 10cm Wound D
20030800055,Sorbsan Ribbon (+ Probe) 40cm Wound Dres
20030900039,Mepilex Border Sacrum 15cm x 15cm Wound
20090000488,Comfifast 17.5cm x 1m (Beige) Stkntte El
21020001045,Rusch Flocath quick Nelaton Fle 8-14 (30
21060200320,Elas Band Umbilical Dble Belt Truss
21080001017,Oxygen_Ventimask Mk Iv 28%
21340000101,Balance Activ RX Vag PH Correction Gel 5
23050600506,Bullen_Flng Retention Strips 102mm x 25m
23600106103,Hollister_Compact Drnbl Pouch Beige P/Cu
23960109702,Hollister_Impression C Convex Transpt Ba
0106010N0AAAFAF,Sterculia/Frangula_Gran 62/8%Sach 7g G/F
0202040B0BBABAB,Frumil L.S._Tab 20mg/2.5mg
0202080K0AAABAB,Furosemide/Pot_Tab 40mg/8mmol M/R
0208020V0AAASAS,Warfarin Sod_Tab 500mcg
0212000L0BBAAAA,Ezetrol_Tab 10mg
0212000X0BBACAD,Lipostat_Tab 40mg
0407010F0BEAAAD,Tylex_Cap 30mg/500mg
0407020Q0AAACAC,Morph Sulph_Inj 15mg/1ml Amp
0407020Q0AAEHEH,Morph Sulph_Cap 60mg M/R
0409020S0BCAAAE,Kemadrin_Tab 5mg
0410020B0BCAAAP,Nicotinell TTS 10_Patch 7mg/24hrs
0604011G0AABEBE,Estradiol_Patch 40mcg/24hrs (AMQ8)
0604011G0BKACBP,FemSeven 100_Patch 100mcg/24hrs
0703010G0AAAAAA,Ethinylest/Norethist_Tab 35mcg/500mcg
0704020ACAAABAB,Darifenacin Hydrob_Tab 15mg M/R
0803041S0AAAAAA,Tamoxifen Cit_Tab 10mg
0902012H0BBAKAJ,Dioralyte Relief_Pdr Sach (Rasp) S/F
0905011D0BEAAAE,Calc 500_Tab
0906031C0AAAHAH,Ascorbic Acid_Tab 200mg
1002010Q0AABFBF,Pyridostig Brom_Oral Soln 60mg/5ml
1106000Y0AAABAB,Piloc Nit_Eye Dps 2% Ud
1202010M0BDAAAD,Pirinase_Hayfever Nsl Spy 0.05%(60 D)
1302010U0BGAEAK,Eucerin_Dry Skin Relief Face Crm+Urea 5%
1310040V0AAAEAE,Dimeticone_Soln Spy 4% 120ml
1501041T0AAATAT,Midazolam HCl_Inj 1mg/ml 2ml Amp
20030100165,Ster Dress Pack + Non-Wov Pads Vernaid
20030400295,Silvercel 2.5cm x 30.5cm Wound Dress H/C
20030600342,Tegaderm Foam Adh Oval 14.3cm x 15.6cm W
20030900053,Mepilex Border Sacrum 23cm x 23cm Wound
20031500065,Draina S Vision 50 150ml cut to 50mm Wou
20100000621,Strappal 2.5cm x 5m Surg Adh Tape Zn Ox
21270000762,Sigvaris Advance 2 Med Comp A/Sleeve+G/T
22501005096,Coloplast_Triform Leg Bag 500ml Long Tub
23153361513,Opus_Lift Plus Citrus Medical Adh Remove
23351003790,Coloplast_SenSura Mini Closed Bag S/Cove
23354103775,Salts_Confidence Natural Closed Lge Pouc
23944809742,Convatec_Esteem Syner Skin Barrier+Flx C
23944809752,Convatec_Esteem Syner Closed Pch + Fltr
0101010T0BBAAA0,Original Andrews Salts_Eff Pdr
0105010B0BDADAL,Salofalk_Enem (2g/59ml)
0202010D0AABSBS,Chloroth_Liq Spec 25mg/5ml
0202030S0AACNCN,Spironol_Liq Spec 25mg/5ml
0204000K0AAATAT,Metoprolol Tart_Liq Spec 50mg/5ml
0205040D0AAAMAM,Doxazosin Mesil_Liq Spec 1mg/5ml
0205051L0AAAVAV,Lisinopril_Oral Susp 5mg/5ml
0208020H0BBAAAA,Sinthrome_Tab 1mg
0302000C0AABUBU,Beclomet Diprop_Pdr For Inh 200mcg(200 D
0401020K0AAAEAE,Diazepam_Soln 10mg/2.5ml Rectal Tube
0402010ADAAAEAE,Aripiprazole_Orodisper Tab 10mg S/F
0402020Z0BBAAAA,Clopixol_Inj 200mg/ml 1ml Amp
0402030K0AAAGAG,Lithium Carb_Tab Slow 450mg
0403010B0AABHBH,Amitriptyline HCl_Oral Soln 10mg/5ml
0408010A0BBADAH,Keppra_Oral Soln 100mg/ml
0410020B0BCAEBA,Nicotinell_Chewing Gum 2mg S/F (Mint)
0601011P0AAAAAA,Ins Glulisine_100u/ml 10ml Vl
0601023ABBBAAAA,Victoza_Inj 6mg/ml 3ml PF Pen
0604011G0AABRBR,Estradiol_Patch 75mcg/24hrs (AMQ8)
0604020K0AABLBL,Testosterone_T/Derm Patch 300mcg/24hrs
0802020G0AAACAC,Ciclosporin_Cap 25mg
0803042H0AAAAAA,Flutamide_Tab 250mg
090101100BBBNA0,Spatone Iron-Plus_Sach 20ml
0904010U0BDALAA,Ener-G_G/F W/F Dinner Roll
090401000BBJQA0,Vitasavoury 300_Pdr Sach 50g (Chicken)
090401000BBMHA0,Vitasavoury 300_Pdr Sach 50g(Golden Veg)
090401000BBMJA0,Vitasavoury 200_Pdr (Chicken)
090401000BBNAA0,Neocate Active_Pdr Sach 63g (Blkcurrant)
090401080BBACBD,Ener-G_G/F W/F Rice Pasta Lasagna
090402000BBSVA0,Fresubin Thickened Stage 2_Cust (2 Flav)
0905022S0AAACAC,Sevelamer_Oral Pdr Sach 2.4g S/F
0906040B0BBAHAI,One-Alpha_Cap 500ng
0906040G0AABNBN,Colecal_Oral Soln 1 000u/ml
091101000BBUBA0,Prosource_Liq Sach 30ml
1001030J0BBAEAE,Myocrisin_Inj 100mg/ml 0.5ml Amp
1003020U0BBABAA,Voltarol Emulgel P_Aq Gel 1%
1106000AHBBAAAA,DuoTrav_Eye Dps
1106000X0AAAYAY,Piloc HCl_Eye Dps 4% P/F
1310020V0BCAAAB,Phytex_Paint + Brush
20030100290,Tricotex Dress (Type 1) 9.5cm x 9.5cm Kt
20030500105,Iodosorb Oint 10g Wound Dress H/Gel Ster
20030600022,Allevyn Adh 17.5cm x 17.5cm Wound Dress
20030600275,Allevyn Ag Heel 10.5cm x 13.5cm Wound Dr
